UNIX time;Local time;genericSensor1
1618141209;2021-04-11T14:40:09.000;-0.742
1618141210;2021-04-11T14:40:10.000;-0.742
1618141211;2021-04-11T14:40:11.000;-0.742
1618141212;2021-04-11T14:40:12.000;-0.742
1618141213;2021-04-11T14:40:13.000;-0.742
1618141214;2021-04-11T14:40:14.000;-0.742
1618141215;2021-04-11T14:40:15.000;-0.742
1618141216;2021-04-11T14:40:16.000;-0.742
1618141217;2021-04-11T14:40:17.000;-0.742
1618141218;2021-04-11T14:40:18.000;-0.742
1618141219;2021-04-11T14:40:19.000;-0.742
1618141220;2021-04-11T14:40:20.000;-0.742
1618141221;2021-04-11T14:40:21.000;-0.742
1618141222;2021-04-11T14:40:22.000;-0.742
1618141223;2021-04-11T14:40:23.000;-0.742
1618141224;2021-04-11T14:40:24.000;-0.742
1618141225;2021-04-11T14:40:25.000;-0.742
1618141226;2021-04-11T14:40:26.000;-0.742
1618141227;2021-04-11T14:40:27.000;-0.742
1618141228;2021-04-11T14:40:28.000;-0.742
1618141229;2021-04-11T14:40:29.000;-0.742
1618141230;2021-04-11T14:40:30.000;-0.742
1618141231;2021-04-11T14:40:31.000;-0.742
1618141232;2021-04-11T14:40:32.000;-0.742
1618141233;2021-04-11T14:40:33.000;-0.742
1618141234;2021-04-11T14:40:34.000;-0.742
1618141235;2021-04-11T14:40:35.000;-0.742
1618141236;2021-04-11T14:40:36.000;-0.742
1618141237;2021-04-11T14:40:37.000;-0.742
1618141238;2021-04-11T14:40:38.000;-0.82
1618141239;2021-04-11T14:40:39.000;-0.742
1618141240;2021-04-11T14:40:40.000;-0.742
1618141241;2021-04-11T14:40:41.000;-0.742
1618141242;2021-04-11T14:40:42.000;-0.742
1618141243;2021-04-11T14:40:43.000;-0.742
1618141244;2021-04-11T14:40:44.000;-0.742
1618141245;2021-04-11T14:40:45.000;-0.742
1618141246;2021-04-11T14:40:46.000;-0.664
1618141247;2021-04-11T14:40:47.000;-0.742
1618141248;2021-04-11T14:40:48.000;-0.742
1618141249;2021-04-11T14:40:49.000;-0.742
1618141250;2021-04-11T14:40:50.000;-0.742
1618141251;2021-04-11T14:40:51.000;-0.742
1618141252;2021-04-11T14:40:52.000;-0.742
1618141253;2021-04-11T14:40:53.000;-0.742
1618141254;2021-04-11T14:40:54.000;-0.742
1618141255;2021-04-11T14:40:55.000;-0.742
1618141256;2021-04-11T14:40:56.000;-0.742
1618141257;2021-04-11T14:40:57.000;-0.742
1618141258;2021-04-11T14:40:58.000;-0.742
1618141259;2021-04-11T14:40:59.000;-0.742
1618141260;2021-04-11T14:41:00.000;-0.742
1618141261;2021-04-11T14:41:01.000;-0.742
1618141262;2021-04-11T14:41:02.000;-0.742
1618141263;2021-04-11T14:41:03.000;-0.742
1618141264;2021-04-11T14:41:04.000;-0.742
1618141265;2021-04-11T14:41:05.000;-0.664
